    # BLOCK:          ACTUAL_TE:              TE_AVE:              ERROR:
         444        -4.137538e-01        -4.440335e-01         2.234742e-03
         445        -5.017795e-01        -4.441633e-01         2.233484e-03
         446        -4.218981e-01        -4.441134e-01         2.229034e-03
         447        -4.649841e-01        -4.441600e-01         2.224536e-03
         448        -4.895154e-01        -4.442613e-01         2.221873e-03
         449        -4.304474e-01        -4.442305e-01         2.217138e-03
         450        -4.186228e-01        -4.441736e-01         2.212941e-03
         451        -4.224571e-01        -4.441255e-01         2.208558e-03
         452        -5.019765e-01        -4.442534e-01         2.207378e-03
         453        -4.726328e-01        -4.443161e-01         2.203394e-03
         454        -4.537625e-01        -4.443369e-01         2.198638e-03
         455        -3.531814e-01        -4.441366e-01         2.202915e-03
         456        -4.591707e-01        -4.441695e-01         2.198331e-03
         457        -4.606751e-01        -4.442056e-01         2.193817e-03
         458        -4.661878e-01        -4.442536e-01         2.189552e-03
         459        -4.371298e-01        -4.442381e-01         2.184837e-03
         460        -4.581829e-01        -4.442684e-01         2.180297e-03
         461        -4.797524e-01        -4.443454e-01         2.176926e-03
         462        -4.102492e-01        -4.442716e-01         2.173465e-03
         463        -3.912186e-01        -4.441570e-01         2.171789e-03
         464        -4.742252e-01        -4.442218e-01         2.168075e-03
         465        -4.240479e-01        -4.441784e-01         2.163846e-03
         466        -4.638652e-01        -4.442207e-01         2.159615e-03
         467        -4.384228e-01        -4.442083e-01         2.155027e-03
         468        -3.829056e-01        -4.440773e-01         2.154399e-03
         469        -4.737811e-01        -4.441406e-01         2.150736e-03
         470        -4.746574e-01        -4.442055e-01         2.147140e-03
         471        -3.676376e-01        -4.440430e-01         2.148727e-03
         472        -4.465717e-01        -4.440483e-01         2.144181e-03
         473        -5.382296e-01        -4.442475e-01         2.148873e-03
         474        -3.345257e-01        -4.440160e-01         2.156771e-03
         475        -3.964323e-01        -4.439158e-01         2.154556e-03
         476        -4.323889e-01        -4.438916e-01         2.150166e-03
